Date,Humedad (voltios)
10/29/17 14:30:58,60
10/29/17 14:30:59,60
10/29/17 14:30:59,60
10/29/17 14:31:00,60
10/29/17 14:31:00,60
10/29/17 14:31:01,60
10/29/17 14:31:01,60
10/29/17 14:31:02,60
10/29/17 14:31:02,60
10/29/17 14:31:03,60
10/29/17 14:31:03,60
10/29/17 14:31:04,60
10/29/17 14:31:04,60
10/29/17 14:31:05,60
10/29/17 14:31:05,60
10/29/17 14:31:06,60
10/29/17 14:31:06,60
10/29/17 14:31:07,60
10/29/17 14:31:07,60
10/29/17 14:31:08,60
10/29/17 14:31:08,60
10/29/17 14:31:09,60
10/29/17 14:31:09,60
10/29/17 14:31:10,60
10/29/17 14:31:10,60
10/29/17 14:31:11,60
10/29/17 14:31:11,59
10/29/17 14:31:12,60
10/29/17 14:31:12,59
10/29/17 14:31:13,60
10/29/17 14:31:13,60
10/29/17 14:31:14,59
10/29/17 14:31:14,59
10/29/17 14:31:15,59
10/29/17 14:31:15,59
10/29/17 14:31:16,59
10/29/17 14:31:16,59
10/29/17 14:31:17,59
10/29/17 14:31:17,59
10/29/17 14:31:18,59
10/29/17 14:31:18,59
10/29/17 14:31:19,59
10/29/17 14:31:19,59
10/29/17 14:31:20,59
10/29/17 14:31:20,59
10/29/17 14:31:21,59
10/29/17 14:31:21,59
10/29/17 14:31:22,59
10/29/17 14:31:22,59
10/29/17 14:31:23,59
10/29/17 14:31:23,60
10/29/17 14:31:24,60
10/29/17 14:31:24,60
10/29/17 14:31:25,60
10/29/17 14:31:25,59
10/29/17 14:31:26,59
10/29/17 14:31:26,60
10/29/17 14:31:27,60
10/29/17 14:31:27,60
10/29/17 14:31:28,60
