x,y,z
0,0,22.46666667
0,4,69.0
2,3,32.51666667
1,1,69.0
1,3,66.31666667
6,2,66.0
6,0,66.0
0,2,66.0
3,2,44.96666667
7,3,56.0
5,7,74.0
1,7,77.55
0,6,75.53333333
4,6,78.15
3,4,71.0
2,0,71.0
7,5,73.9
4,7,76.2833
