,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Cuadrante 1,69.5485219958347,70.3961425381531,66.8385457493835,67.1003346636059,70.1498179228408,66.7427491327991,68.4594992207591
Cuadrante 2,70.2318221267155,69.0642949568511,70.2931766240953,74.2586313619236,75.3711214136739,73.8141218331035,78.4223097266842
Cuadrante 3,53.6256371153216,55.9819532325265,60.6411430271195,56.3554367496624,58.9297711355709,60.6741109049777,57.2011425847857
Cuadrante 4,57.3471134550297,55.4445986382786,55.626121810738,58.7371991953306,58.502352608796,56.6866017803759,55.3052041951757
